Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
11.55230999,1.72517597517719,2.00739287870161,1743194.99059427,1756590.68113684,13395.6905425673
7.010264874,1.9935107386742,2.53674762818597,392377.786276044,398139.718135819,5761.93185977545
6.255044937,2.17299248067482,1.78801428686794,280087.938827069,277187.237495241,-2900.70133182831
11.11633015,5.87456751460236,6.43000689448572,1728673.84849822,1752164.5809711,23490.7324728856
7.759131908,1.46653678331395,2.05393919632813,524456.542197832,532904.480104265,8447.93790643278
5.309784889,0.858469163383181,0.907335710286266,165271.553115743,165496.778851545,225.225735802553
9.786010742,0.821036708115891,1.53976859435168,1033548.3470213,1054285.99788895,20737.6508676588
4.172620773,4.88335702555458,3.83972352590913,89205.9936754633,86871.7276980727,-2334.26597739059
11.32643032,8.76963518892894,9.59061175917975,1958067.59940659,1994794.60467271,36727.0052661228
8.856646538,2.14031457131762,1.11837071654273,794381.455805555,772523.449041806,-21858.0067637487
7.299397945,2.72055853646091,3.06370207094284,451663.316541652,455772.093104017,4108.77656236512
15.91687965,5.57138332131588,5.21408395133948,5036968.03470665,4992609.04671901,-44358.9879876329
2.292001963,0.427187862339606,0.622302551800723,13132.7965882036,13205.1252623851,72.3286741815391
2.878205061,1.2973009906443,0.798651121197034,26644.9624090382,26278.9157150948,-366.046693943408
5.512597084,0.724503914921797,0.756180426256604,184251.291780705,184414.66530568,163.37352497445
23.5320797,3.37645603936341,3.99531592536954,15396477.7865407,15644761.8510749,248284.064534284
17.94960976,4.24161573705651,4.76211538620829,6986947.75047672,7079622.42210934,92674.6716326149
3.070084095,3.31118056373702,2.64699108047596,34131.2294006952,33539.5064810374,-591.722919657819
8.497768402,2.26955081813415,2.0201550171347,704116.322583243,699404.603487825,-4711.71909541765
2.961102009,0.951409484494963,0.450432035525944,28737.6737518019,28337.2186182781,-400.455133523781
4.969172001,3.68193480201176,3.45490080358046,146128.813715696,145271.146977109,-857.666738587519
1.475465059,-0.1832162961027,0.0700980881112156,3443.11096067021,3468.16179650272,25.0508358325096
2.028523922,1.81500899692495,2.22724888615517,9461.08389101928,9567.02536112886,105.941470109581
8.875153542,0.919747951633747,1.55967095463325,773101.449704894,786874.525228269,13773.0755233745
